"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Combined queries 30D","combined_queries_30d","number","","analyticsinformation","true","","false","false","false","false","false","false","E&N Developer Account Operations","Sales view (1); Properties v3 card (1)","0.73%","",""
"Domain queries 30D","domain_queries_30d","number","","analyticsinformation","true","","false","false","false","false","false","false","E&N Developer Account Operations","Sales view (1); Properties v3 card (1)","0.73%","",""
"Failed Network Queries 30D","failed_network_queries_30d","number","num_failed_gateway_queries_30d","analyticsinformation","true","","false","false","false","false","false","false","Edge Node","Properties v3 card (1)","4.78%","",""
"Latest Traffic Source","hs_analytics_latest_source","enumeration","Source for the contact either directly or indirectly associated with the last session activity for this deal","analyticsinformation","false","Organic Search (ORGANIC_SEARCH); Paid Search (PAID_SEARCH); Email Marketing (EMAIL_MARKETING); Organic Social (SOCIAL_MEDIA); Referrals (REFERRALS); Other Campaigns (OTHER_CAMPAIGNS); Direct Traffic (DIRECT_TRAFFIC); Offline Sources (OFFLINE); Paid Social (PAID_SOCIAL)","true","true","true","false","false","true","HubSpot","Properties v3 card (1)","48.97%","",""
"Latest Traffic Source Data 1","hs_analytics_latest_source_data_1","string","Additional source details of the last session attributed to any contacts that are directly or indirectly associated with this deal","analyticsinformation","false","","true","true","true","false","false","true","HubSpot","","48.97%","",""
"Latest Traffic Source Data 2","hs_analytics_latest_source_data_2","string","Additional source details of the last session attributed to any contacts that are directly or indirectly associated with this deal","analyticsinformation","false","","true","true","true","false","false","true","HubSpot","","48.93%","",""
"Latest Traffic Source Timestamp","hs_analytics_latest_source_timestamp","datetime","Timestamp of when latest source occurred for either a directly or indirectly associated contact","analyticsinformation","false","","true","true","true","false","false","true","HubSpot","","48.97%","",""
"Original Traffic Source","hs_analytics_source","enumeration","Original source for the contact with the earliest activity for this deal.","analyticsinformation","false","Organic Search (ORGANIC_SEARCH); Paid Search (PAID_SEARCH); Email Marketing (EMAIL_MARKETING); Organic Social (SOCIAL_MEDIA); Referrals (REFERRALS); Other Campaigns (OTHER_CAMPAIGNS); Direct Traffic (DIRECT_TRAFFIC); Offline Sources (OFFLINE); Paid Social (PAID_SOCIAL)","false","true","false","false","false","true","HubSpot","Properties v3 card (1)","48.95%","",""
"Original Traffic Source Drill-Down 1","hs_analytics_source_data_1","string","Additional information about the original source for the associated contact, or associated company if there is no contact, with the oldest value for the Time first seen property.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","","48.95%","",""
"Original Traffic Source Drill-Down 2","hs_analytics_source_data_2","string","Additional information about the original source for the associated contact, or associated company if there is no contact, with the oldest value for the Time first seen property.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","","48.92%","",""
"L1 queries 30D","l1_queries_30d","number","","analyticsinformation","true","","false","false","false","false","false","false","E&N Developer Account Operations","Sales view (1); Properties v3 card (1)","0.73%","",""
"Network Queries 30D","network_queries_30d","number","num_gateway_queries_30d","analyticsinformation","true","","false","false","false","false","false","false","E&N Developer Account Operations","Rollup property (1); Inbounddb lists (1); Report (5); Sales view (3); Pipeline object tag (1); Properties v3 card (1)","5.5%","",""
"Network Queries Lifetime","network_queries_lifetime","number","num_gateway_queries_lifetime","analyticsinformation","true","","false","false","false","false","false","false","Edge Node","Rollup property (1); Sales view (1); Pipeline object tag (1); Properties v3 card (1)","10.19%","",""
"Query Success Rate 30D","query_success_rate_30d","number","query_success_rate_30d","analyticsinformation","true","","false","false","false","false","false","false","Edge Node","Properties v3 card (1)","4.78%","",""
"Sunbeam status","sunbeam_status","string","","analyticsinformation","true","","false","false","false","false","false","false","E&N Developer Account Operations","Sales view (1)","0.73%","",""
"Upper queries 30D","upper_queries_30d","number","","analyticsinformation","true","","false","false","false","false","false","false","E&N Developer Account Operations","Sales view (1); Properties v3 card (1)","0.73%","",""
"Closed Lost Reason","closed_lost_reason","string","Reason why this deal was lost","deal_activity","false","","false","false","false","false","false","true","HubSpot","Report (1); Sales view (1)","0%","",""
"Closed Won Reason","closed_won_reason","string","Reason why this deal was won","deal_activity","false","","false","false","false","false","false","true","HubSpot","","0%","",""
"Deal Stage","dealstage","enumeration","The stage of the deal. Deal stages allow you to categorize and track the progress of the deals that you are working on.","deal_activity","false","","false","true","false","true","false","true","HubSpot","Inbounddb lists (7); Automation platform flow (8); Object requirement (1); Report (22); Association card (1); Sales view (9); Properties v3 card (1); Association v3 card (2)","100%","",""
"Date of last meeting booked in meetings tool","engagements_last_meeting_booked","datetime","The date of the most recent meeting an associated contact has booked through the meetings tool.","deal_activity","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Campaign of last booking in meetings tool","engagements_last_meeting_booked_campaign","string","This UTM parameter shows which marketing campaign (e.g. a specific email) referred an associated contact to the meetings tool for their most recent booking. This property is only populated when you add tracking parameters to your meeting link.","deal_activity","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Medium of last booking in meetings tool","engagements_last_meeting_booked_medium","string","This UTM parameter shows which channel (e.g. email) referred an associated contact to the meetings tool for their most recent booking. This property is only populated when you add tracking parameters to your meeting link.","deal_activity","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Source of last booking in meetings tool","engagements_last_meeting_booked_source","string","This UTM parameter shows which site (e.g. Twitter) referred an associated contact to the meetings tool for their most recent booking. This property is only populated when you add tracking parameters to your meeting link. ","deal_activity","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Is closed lost","hs_is_closed_lost","bool","True if the deal is in the closed lost state, false otherwise","deal_activity","false","True (true); False (false)","true","true","true","false","false","true","HubSpot","Inbounddb lists (1); Automation platform flow (1); Pipeline object tag (1)","100%","",""
"Is Closed Won","hs_is_closed_won","bool","True if the deal is in the closed won state, false otherwise","deal_activity","false","True (true); False (false)","true","true","false","false","false","true","HubSpot","Inbounddb lists (2); Report (2)","100%","",""
"Last Modified Date","hs_lastmodifieddate","datetime","Most recent timestamp of any property update for this deal. This includes HubSpot internal properties, which can be visible or hidden. This property is updated automatically.","deal_activity","false","","true","true","false","false","false","true","HubSpot","Report (1); Properties v3 card (1)","100%","",""
"Latest Approval Status","hs_latest_approval_status","string","The latest approval status. Used by HubSpot to track pipeline approval processes.","deal_activity","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Owner assigned date","hubspot_owner_assigneddate","datetime","The most recent timestamp of when an owner was assigned to this record. This value is set automatically by HubSpot.","deal_activity","false","","true","true","false","false","false","true","HubSpot","","2.62%","",""
"Last Contacted","notes_last_contacted","datetime","The last time a call, sales email, or meeting was logged for this deal. This is set automatically by HubSpot based on user actions.","deal_activity","false","","true","true","false","false","false","true","HubSpot","Pipeline object tag (1)","0.73%","",""
"Last Activity Date","notes_last_updated","datetime","The last time a note, call, email, meeting, or task was logged for a deal. This is updated automatically by HubSpot.","deal_activity","false","","true","true","false","false","false","true","HubSpot","Report (1)","1.24%","",""
"Next Activity Date","notes_next_activity_date","datetime","The date of the next upcoming activity for a deal. This property is set automatically by HubSpot based on user action. This includes logging a future call, sales email, or meeting using the Log feature, as well as creating a future task or scheduling a future meeting. This is updated automatically by HubSpot.","deal_activity","false","","true","true","false","false","false","true","HubSpot","","0.01%","",""
"Number of times contacted","num_contacted_notes","number","The number of times a call, chat conversation, LinkedIn message, postal mail, meeting, sales email, SMS, or WhatsApp message was logged for a deal record. This is set automatically by HubSpot based on user actions in the deal record.","deal_activity","false","","true","true","false","false","false","true","HubSpot","","1.37%","",""
"Number of Sales Activities","num_notes","number","The number of times a call, chat conversation, LinkedIn message, postal mail, meeting, note, sales email, SMS, task, or WhatsApp message was logged for a deal record. This is set automatically by HubSpot based on user actions in the deal record.","deal_activity","false","","true","true","false","false","false","true","HubSpot","Report (1)","2.08%","",""
"Pipeline","pipeline","enumeration","The pipeline the deal is in. This determines which stages are options for the deal.","deal_activity","false","","false","true","false","true","false","true","HubSpot","Rollup property (2); Inbounddb lists (7); Automation platform flow (8); Object requirement (1); Report (39); Controlling conditional field (1); Pipeline object tag (6); Properties v3 card (2); Association v3 card (1); Crm container view (1)","100%","",""
"Amount","amount","number","The total amount of the deal","deal_revenue","false","","false","true","false","false","false","true","HubSpot","Inbounddb lists (2); Automation platform flow (2); Object requirement (1); Report (2); Integration (1); Association card (1); Pipeline board view (1); Sales view (8); Association v3 card (1)","5.56%","",""
"Amount in company currency","amount_in_home_currency","number","The amount of the deal, using the exchange rate, in your company's currency","deal_revenue","false","","true","true","true","false","false","true","HubSpot","Report (7)","5.56%","",""
"Billing Balance GRT","billing_balance_grt","number","","deal_revenue","true","","false","false","false","false","false","false","Edge Node","Properties v3 card (1)","1.83%","",""
"Data Consumer Wallet","data_consumer_wallet","string","The wallet used to pay query fees.","deal_revenue","true","","false","false","false","false","false","false","Edge Node","Properties v3 card (1)","0%","",""
