"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Allow partial payments","hs_allow_partial_payments","bool","Allow your customer to pay less than the balance due","invoiceinformation","false","Yes (true); No (false)","false","true","false","false","false","true","HubSpot","","39.66%","",""
"Allowed payment methods","hs_allowed_payment_methods","enumeration","The payment methods that can be used to pay the invoice.","invoiceinformation","false","Credit or Debit Card (credit_or_debit_card); ACH (ach); SEPA (sepa); BACS (bacs); PADS (pads)","false","true","false","false","false","true","HubSpot","","0%","",""
"Amount billed","hs_amount_billed","number","The amount billed on the invoice","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","Automation platform flow (1); Sales view (2)","100%","",""
"Amount billed in company currency","hs_amount_billed_in_company_currency","number","The amount billed on the invoice in the company currency","invoiceinformation","false","","true","true","true","false","false","true","HubSpot","Report (1)","100%","",""
"Amount billed (pre-tax)","hs_amount_billed_pre_tax","number","The amount billed on the invoice before tax","invoiceinformation","false","","true","true","true","false","false","true","HubSpot","","100%","",""
"Amount paid","hs_amount_paid","number","The total value of non-failed payments associated to the invoice.","invoiceinformation","false","","true","true","true","false","false","true","HubSpot","Automation platform flow (1); Pipeline object tag (1)","100%","",""
"Amount paid in company currency","hs_amount_paid_in_company_currency","number","The total value of non-failed payments associated to the invoice in the company currency","invoiceinformation","false","","true","true","true","false","false","true","HubSpot","Report (1)","100%","",""
"Amount processing","hs_amount_processing","number","The total value of processing payments associated to the invoice.","invoiceinformation","false","","true","true","false","false","false","true","HubSpot","","65.52%","",""
"Balance due","hs_balance_due","number","The balance due for the invoice.","invoiceinformation","false","","true","true","false","false","false","true","HubSpot","Sales view (2)","100%","",""
"Balance due in company currency","hs_balance_due_in_company_currency","number","The balance due for the invoice in the company currency","invoiceinformation","false","","true","true","true","false","false","true","HubSpot","Report (5)","100%","",""
"Billing frequency type","hs_billing_frequency_type","enumeration","Indicates whether or not the invoice is part of a recurring series (a subscription).","invoiceinformation","false","One-time (ONE_TIME) [READ-ONLY]; Recurring (RECURRING) [READ-ONLY]","true","true","true","false","false","true","HubSpot","Report (1)","100%","",""
"Comments","hs_comments","string","Comments to the Invoice recipient.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","Data sync mapping (1)","100%","",""
"Create Date","hs_createdate","datetime","The date and time at which this object was created. This value is automatically set by HubSpot and may not be modified.","invoiceinformation","false","","true","true","false","false","false","true","HubSpot","Report (4); Data sync filter property (2)","100%","",""
"Currency","hs_currency","string","The currency of the invoice","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","Data sync mapping (1)","100%","",""
"Days paid late","hs_days_paid_late","enumeration","How many days the invoice was paid after the due date","invoiceinformation","false","Paid on time (paid_on_time) [READ-ONLY]; 1-30 days late (between_1_30_days_late) [READ-ONLY]; 31-60 days late (between_31_60_days_late) [READ-ONLY]; 61-90 days late (between_61_90_days_late) [READ-ONLY]; 90+ days late (over_90_days_late) [READ-ONLY]","true","true","true","false","false","true","HubSpot","Report (1)","65.52%","",""
"Discounts total","hs_discounts_total","number","The sum of all line item level discounts and invoice level discounts applied to the invoice.","invoiceinformation","false","","true","true","false","false","false","true","HubSpot","Sales view (2)","100%","",""
"Due date","hs_due_date","datetime","The due date for the current invoice.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","Automation platform flow (1); Report (4); Data sync mapping (1); Sales view (2); Pipeline object tag (1)","100%","",""
"Exchange rate","hs_exchange_rate","number","This is the exchange rate used to convert the invoice amount into your company currency.","invoiceinformation","false","","true","true","false","false","false","true","HubSpot","","94.83%","",""
"Invoice external create date/time","hs_external_createdate","datetime","The date and time at which the invoice was created in the 3rd party accounting application","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"External recipient","hs_external_recipient","string","The recipient of the current invoice.","invoiceinformation","false","","false","false","false","false","false","true","HubSpot","Automation platform flow (1)","0%","",""
"Fees total","hs_fees_total","number","The sum of all fees applied to the invoice.","invoiceinformation","false","","true","true","false","false","false","true","HubSpot","Data sync mapping (1)","100%","",""
"Age category","hs_invoice_age_category","enumeration","How many days an invoice has been outstanding","invoiceinformation","false","Current (zero_days); 1-30 Days (between_1_30_days); 31-60 Days (between_31_60_days); 61-90 Days (between_61_90_days); 90+ Days (over_90_days)","true","true","false","false","false","true","HubSpot","Automation platform flow (1); Report (2)","29.31%","",""
"Invoice billable","hs_invoice_billable","bool","Whether or not the invoice is billable","invoiceinformation","false","Yes (true); No (false)","false","true","false","false","false","true","HubSpot","","100%","",""
