"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"List ID","hs_classic_list_id","number","The list ID is used when referencing lists in any third-party integrations, or when using the Lists API","objectlistinformation","false","","true","true","false","false","false","true","HubSpot","","11.76%","",""
"Email Click Through Rate","hs_click_through_rate","number","","objectlistinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Created by user ID","hs_created_by_user_id","number","The user who created this record. This value is set automatically by HubSpot.","objectlistinformation","false","","true","true","false","true","false","true","HubSpot","","38.9%","",""
"Object create date/time","hs_createdate","datetime","The date and time at which this object was created. This value is automatically set by HubSpot and may not be modified.","objectlistinformation","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Description","hs_description","string","","objectlistinformation","false","","false","true","false","false","false","true","HubSpot","","4.36%","",""
"Email Open Rate","hs_email_open_rate","number","","objectlistinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Generated with AI","hs_generated_by_ai","bool","Marks lists that were created or modified with the help of AI","objectlistinformation","false","Yes (true); No (false)","true","true","false","false","false","true","HubSpot","","62.24%","",""
"Read only","hs_is_read_only","enumeration","Shows if this list is able to be edited or deleted","objectlistinformation","false","Yes (true); No (false)","true","true","false","false","false","true","HubSpot","","11.76%","",""
"Last record added at","hs_last_record_added_at","datetime","The date and time when the last record joined the list","objectlistinformation","false","","true","true","false","false","false","true","HubSpot","","85.77%","",""
"Last record removed at","hs_last_record_removed_at","datetime","The date and time when the last record left the list","objectlistinformation","false","","true","true","false","false","false","true","HubSpot","","53.13%","",""
"Object last modified date/time","hs_lastmodifieddate","datetime","Most recent timestamp of any property update for this object. This includes HubSpot internal properties, which can be visible or hidden. This property is updated automatically.","objectlistinformation","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"List access level","hs_list_access_level","enumeration","General access permissions of a list","objectlistinformation","false","Creator only (CREATOR_ONLY); Specific users and teams (SPECIFIC_USERS_AND_TEAMS); Everyone view (EVERYONE_VIEW); Everyone edit (EVERYONE_EDIT)","true","true","false","false","false","true","HubSpot","","17.27%","",""
"ILS List ID","hs_list_id","number","The list ID referenced when using the Exports API","objectlistinformation","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Notifications","hs_list_notifications","enumeration","Enumeration of notifications enabled for list","objectlistinformation","false","Edited or deleted (list_definition_updated); Count reached (list_size_reaches_count); Size anomaly detected (list_size_change_anomaly_detected)","true","true","false","false","false","true","HubSpot","","0%","",""
"Used in","hs_list_reference_categories","enumeration","Indicates the types of assets using a list","objectlistinformation","false","Ads (1); Blogs (4); Bots (5); Campaigns (6); Chatflows (12); CTAs (Legacy) (8); Datasets (13); Emails (9); Health Scoring (21); Journeys (2); Lead scoring (20); Lookalike Lists (10); Lists (22); Marketing Events (11); Reporting (7); Salesforce Inclusion Lists (19); Smart Content (15); SMS (16); Social Streams (18); Split Lists (17); Views (14); Workflows (3)","true","true","false","false","false","true","HubSpot","","1.52%","",""
"List Size","hs_list_size","number","","objectlistinformation","false","","true","true","false","false","false","true","HubSpot","","99.05%","",""
"7-Day Change","hs_list_size_week_delta","number","How the count of the list has changed in the last 7 days","objectlistinformation","false","","true","true","false","false","false","true","HubSpot","","54.08%","",""
"List Version","hs_list_version","number","The current version of the list","objectlistinformation","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Assigned Team","hs_membership_team_id","number","Team that the list is assigned to and used to limit list memberships","objectlistinformation","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Merged record IDs","hs_merged_object_ids","enumeration","The list of record IDs that have been merged into this record. This value is set automatically by HubSpot.","objectlistinformation","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Record ID","hs_object_id","number","The unique ID for this record. This value is set automatically by HubSpot.","objectlistinformation","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Record source detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created.","objectlistinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created.","objectlistinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created.","objectlistinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source","hs_object_source_label","enumeration","How this record was created.","objectlistinformation","false","","true","true","false","true","false","true","HubSpot","","99.81%","",""
"Object Type","hs_object_type_id","string","The object type id of the objects in the list","objectlistinformation","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Teams with edit access","hs_teams_with_edit_access","enumeration","Teams with explicit edit access to a list","objectlistinformation","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Updated by user ID","hs_updated_by_user_id","number","The user who last updated this record. This value is set automatically by HubSpot.","objectlistinformation","false","","true","true","false","true","false","true","HubSpot","","35.48%","",""
"Users with edit access","hs_users_with_edit_access","enumeration","Users with explicit edit access to a list","objectlistinformation","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Owner assigned date","hubspot_owner_assigneddate","datetime","The most recent timestamp of when an owner was assigned to this record. This value is set automatically by HubSpot.","objectlistinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Owner","hubspot_owner_id","enumeration","The owner of the object.","objectlistinformation","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Owner's main team","hubspot_team_id","enumeration","The main team of the record owner. This value is set automatically by HubSpot.","objectlistinformation","false","","true","true","false","true","false","true","HubSpot","","0%","",""
