"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"External Sync Source","ip__sync_extension__external_source_account_id","enumeration","The ID of the external account that synced with this product.","ip__sync_extension__sync_extension","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Unit cost","hs_cost_of_goods_sold","number","The amount that sold goods cost the HubSpot customer","price","false","","false","true","false","false","false","true","HubSpot","Data sync mapping (1)","0%","",""
"Unit price","price","number","Cost of product","price","false","","false","true","false","false","false","true","HubSpot","Data sync mapping (1)","100%","",""
"Billing frequency","recurringbillingfrequency","enumeration","How often a product with recurring billing is billed. It informs the pricing calculation for deals and quotes. Products with one-time billing aren’t included.","price","false","Weekly (weekly); Every two weeks (biweekly); Monthly (monthly); Quarterly (quarterly); Semi-annually (per_six_months); Annually (annually); Every two years (per_two_years); Every three years (per_three_years); Every four years (per_four_years); Every five years (per_five_years)","false","true","false","false","false","true","HubSpot","","38.46%","",""
"Create Date","createdate","datetime","The date the product was created","productinformation","false","","false","true","false","false","false","true","HubSpot","","100%","",""
"Deployment ID","deployment_id","string","","productinformation","true","","false","false","false","false","false","false","E&N Developer Account Operations","","0%","",""
"Product description","description","string","Full description of product","productinformation","false","","false","true","false","false","false","true","HubSpot","Data sync mapping (1)","38.46%","",""
"Created by user ID","hs_created_by_user_id","number","The user who created this record. This value is set automatically by HubSpot.","productinformation","false","","true","true","false","true","false","true","HubSpot","","100%","",""
"Object create date/time","hs_createdate","datetime","The date and time at which this object was created. This value is automatically set by HubSpot and may not be modified.","productinformation","false","","true","true","false","false","false","true","HubSpot","Data sync filter property (1)","0%","",""
"Image Url","hs_images","string","Product images.","productinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Last Modified Date","hs_lastmodifieddate","datetime","The date any property on this product was modified","productinformation","false","","true","true","false","false","false","true","HubSpot","Data sync filter property (1)","100%","",""
"Merged record IDs","hs_merged_object_ids","enumeration","The list of record IDs that have been merged into this record. This value is set automatically by HubSpot.","productinformation","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Record ID","hs_object_id","number","The unique ID for this record. This value is set automatically by HubSpot.","productinformation","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Record source detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created.","productinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created.","productinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created.","productinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source","hs_object_source_label","enumeration","How this record was created.","productinformation","false","","true","true","false","true","false","true","HubSpot","","100%","",""
"Product type","hs_product_type","enumeration","The type of product. By default, categorize your product as either Inventory, Non-Inventory or Service.","productinformation","false","Inventory (inventory); Non-Inventory (non_inventory); Service (service)","false","false","false","false","false","true","HubSpot","Data sync mapping (1)","76.92%","",""
"SKU","hs_sku","string","Unique product identifier","productinformation","false","","false","true","false","false","false","true","HubSpot","Data sync mapping (1)","100%","",""
"Updated by user ID","hs_updated_by_user_id","number","The user who last updated this record. This value is set automatically by HubSpot.","productinformation","false","","true","true","false","true","false","true","HubSpot","","100%","",""
"URL","hs_url","string","Product url.","productinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Owner assigned date","hubspot_owner_assigneddate","datetime","The most recent timestamp of when an owner was assigned to this record. This value is set automatically by HubSpot.","productinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Owner","hubspot_owner_id","enumeration","The owner of the object.","productinformation","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Name","name","string","Product name","productinformation","false","","false","true","false","false","false","true","HubSpot","Data sync mapping (1)","100%","",""
"Term","hs_recurring_billing_period","string","Product recurring billing duration","term","false","","false","true","false","false","false","true","HubSpot","","46.15%","",""
