"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Data Consumer Wallet","data_consumer_wallet","string","This is the wallet address that pays for the query fees. ","billing_information","true","","false","false","false","false","false","false","Edge Node","","0%","",""
"Amount paid","hs_amount_paid","number","What the customer has already paid.","billing_information","false","","false","false","false","false","false","true","HubSpot","","0%","",""
"Amount remaining","hs_amount_remaining","number","What the customer will pay in the future.","billing_information","false","","false","false","false","false","false","true","HubSpot","","0%","",""
"Total cost","hs_total_cost","number","The total value in US dollars of the offering.","billing_information","false","","false","false","false","false","false","true","HubSpot","","0%","",""
"Total Gateway Query Fees Billed GRT","total_gateway_query_fees_billed_grt","number","","billing_information","true","","false","false","false","false","false","false","Edge Node","","0%","",""
"Total Gateway Query Fees Billed USD","total_gateway_query_fees_billed_usd","number","","billing_information","true","","false","false","false","false","false","false","Edge Node","","0%","",""
"Billing Balance","billing_balance","number","The balance of GRT in the billing contact for the Studio User","service_information","true","","false","false","false","false","false","false","Edge Node","","0%","",""
"Chains Published to","chains_published_to","enumeration","The chains that a Studio User has published subgraphs to. ","service_information","true","Arbitrum; Avalanche; Base; BSC; Celo; Fantom; Linea; Mainnet; Optimism; Scroll; Solana; Polygon; Arbitrum Sepolia; Gnosis; Moonriver","false","false","false","false","false","false","Edge Node","","0%","",""
"Consumer Lifespan Days","consumer_lifespan_days","number","The number of days a Data Consumer Wallet has been a customer. ","service_information","true","","false","false","false","false","false","false","Edge Node","","0%","",""
"Current Signaled Tokens","current_signaled_tokens","number","The sum of all the tokens is currently signaled to a studio user's subgraphs.","service_information","true","","false","false","false","false","false","false","Edge Node","","0%","",""
"Data Consumer API Key Names","data_consumer_api_key_names","string","","service_information","true","","false","false","false","false","false","false","Edge Node","","0%","",""
"Data Consumer Org Name","data_consumer_org_name","string","The Organization Name for the Data Consumer Wallet","service_information","true","","false","false","false","false","false","false","Edge Node","","0%","",""
"Deployment ID","deployment_id","string","","service_information","false","","false","false","false","false","false","false","Edge Node","","0%","",""
"Category","hs_category","enumeration","A drop down or multi-select field where customers can differentiate among varied offerings i.e. Marketing hub onboarding vs. full suite onboarding, etc. ","service_information","false","Marketing Hub onboarding (marketing_hub_onboarding); Full Suite onboarding (full_suite_onboarding)","false","false","false","false","false","true","HubSpot","","0%","",""
"Close date","hs_close_date","datetime","Date the record is ""closed"".","service_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Created by user ID","hs_created_by_user_id","number","The user who created this record. This value is set automatically by HubSpot.","service_information","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Object create date/time","hs_createdate","datetime","The date and time at which this object was created. This value is automatically set by HubSpot and may not be modified.","service_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Description","hs_description","string","An explanation of the offering that is being represented","service_information","false","","false","false","false","false","false","true","HubSpot","","0%","",""
"Object last modified date/time","hs_lastmodifieddate","datetime","Most recent timestamp of any property update for this object. This includes HubSpot internal properties, which can be visible or hidden. This property is updated automatically.","service_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Merged record IDs","hs_merged_object_ids","enumeration","The list of record IDs that have been merged into this record. This value is set automatically by HubSpot.","service_information","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Name","hs_name","string","Short-summary of the offering the record represents.","service_information","false","","false","false","false","false","false","true","HubSpot","","0%","",""
"Record ID","hs_object_id","number","The unique ID for this record. This value is set automatically by HubSpot.","service_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created.","service_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created.","service_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created.","service_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source","hs_object_source_label","enumeration","How this record was created.","service_information","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Pipeline","hs_pipeline","enumeration","The pipeline that contains this service","service_information","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Pipeline Stage","hs_pipeline_stage","enumeration","The pipeline stage that contains this service","service_information","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Start date","hs_start_date","datetime","Date the offering starts being worked on by either the customer or the company","service_information","false","","false","false","false","false","false","true","HubSpot","","0%","",""
"Status","hs_status","enumeration","This represents how the project is tracking relative towards expectations.","service_information","false","On track (on_track); Delayed (delayed); Failed (failed); Succeeded/Completed (succeeded_completed)","false","true","false","false","false","true","HubSpot","","0%","",""
"Tags","hs_tags","enumeration","Deal tags associated with your service.","service_information","false","","false","false","false","false","false","true","HubSpot","","0%","",""
"Target end date","hs_target_end_date","datetime","Date the offering is anticipated to be completed.","service_information","false","","false","false","false","false","false","true","HubSpot","","0%","",""
"Updated by user ID","hs_updated_by_user_id","number","The user who last updated this record. This value is set automatically by HubSpot.","service_information","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Owner assigned date","hubspot_owner_assigneddate","datetime","The most recent timestamp of when an owner was assigned to this record. This value is set automatically by HubSpot.","service_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Owner","hubspot_owner_id","enumeration","The owner of the object.","service_information","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Owner's main team","hubspot_team_id","enumeration","The main team of the record owner. This value is set automatically by HubSpot.","service_information","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Mainnet Website","mainnet_website","string","The website a studio user has listed in their profile.","service_information","false","","false","false","false","false","false","false","Edge Node","","0%","",""
"Network Num Failed Queries","network_num_failed_queries","number","This is the number of failed queries on the decentralized network. ","service_information","true","","false","false","false","false","false","false","Edge Node","","0%","",""
"Network Num Queries","network_num_queries","number","This is the total number of decentralized network queries, including failed queries. ","service_information","true","","false","false","false","false","false","false","Edge Node","","0%","",""
"Number of Subgraphs","number_of_subgraphs","number","The number of subgraphs associated with a Studio User's wallet address. ","service_information","true","","false","false","false","false","false","false","Edge Node","","0%","",""
"Powered by Substreams","powered_by_substreams","enumeration","","service_information","true","Yes (true); No (false)","false","false","false","false","false","false","Edge Node","","0%","",""
"Registered Email Addresses","registered_email_addresses","string","The email addresses added to the Studio User account. ","service_information","true","","false","false","false","false","false","false","Edge Node","","0%","",""
"Studio Org Name","studio_org_name","string","This is the name of the organization provided by the user in the Studio account. ","service_information","true","","false","false","false","false","false","false","Edge Node","","0%","",""
"Studio Publisher Wallet","studio_publisher_wallet","string","","service_information","true","","false","false","false","false","false","false","Edge Node","","0%","",""
"Studio User Wallet","studio_user_wallet","string","","service_information","true","","false","false","false","false","false","false","Edge Node","","0%","",""
