"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Allowed payment methods","hs_allowed_payment_methods","enumeration","The payment methods that can be used to pay the invoice","subscription_information","false","Credit or Debit Card (credit_or_debit_card); ACH (ach); SEPA (sepa); BACS (bacs); PADS (pads)","false","true","false","false","false","true","HubSpot","","0%","",""
"Annual recurring revenue","hs_arr","number","The annual recurring revenue from the subscription.","subscription_information","false","","true","true","true","false","false","true","HubSpot","","100%","",""
"Annual recurring revenue in company currency","hs_arr_in_company_currency","number","The annual recurring revenue from the subscription, in your company's currency","subscription_information","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Automatically email invoices","hs_automatically_email_invoices","bool","Determines if recurring invoices are automatically emailed to the customer on each billing date","subscription_information","false","Yes (true); No (false)","false","true","false","false","false","true","HubSpot","","100%","",""
"Churn date","hs_churn_date","date","Indicates when the subscription status has changed to INACTIVE or UNPAID.","subscription_information","false","","false","true","false","false","false","true","HubSpot","","44.83%","",""
"Address types to collect","hs_collect_address_types","enumeration","The types of addresses that are collected while paying the invoice.","subscription_information","false","Billing Address (billing_address); Shipping Address (shipping_address)","false","true","false","false","false","true","HubSpot","","0%","",""
"Collection process","hs_collection_process","enumeration","Describes the payment collection process for the subscription i.e. automatic vs manual (not yet supported)","subscription_information","false","Automatic payments (automatic_payments); Manual payments (manual_payments)","false","true","false","false","false","true","HubSpot","","100%","",""
"Contact email","hs_contact_email","string","The email address of the contact associated to the subscription. This is the primary email address used for subscription related emails.","subscription_information","false","","false","true","false","false","false","true","HubSpot","","100%","",""
"Created by user ID","hs_created_by_user_id","number","The user who created this record. This value is set automatically by HubSpot.","subscription_information","false","","true","true","false","true","false","true","HubSpot","","100%","",""
"Object create date/time","hs_createdate","datetime","The date and time at which this object was created. This value is automatically set by HubSpot and may not be modified.","subscription_information","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Currency code","hs_currency_code","enumeration","The currency code of the subscription.","subscription_information","false","","false","true","false","true","false","true","HubSpot","","100%","",""
"Invoice Comments","hs_invoice_comments","string","Comments to the invoice recipient","subscription_information","false","","false","true","false","false","false","true","HubSpot","","68.97%","",""
